Closeness T,0.62 (0.27),0.63 (0.26),0.65 (0.26),0.59 (0.25),0.57 (0.34),0.53 (0.30),0.62 (0.31),0.49 (0.28),0.49 (0.41),0.52 (0.29),0.64 (0.31),0.62 (0.21),0.56 (0.27),0.58 (0.27),0.63 (0.25),0.66 (0.31),0.57 (0.32),0.62 (0.29),0.65 (0.28),0.51 (0.27),0.60 (0.38),0.59 (0.31),0.68 (0.32),0.50 (0.30),0.52 (0.29),0.57 (0.35),0.66 (0.30),0.78 (0.23),0.66 (0.34),0.64 (0.21),0.72 (0.30),0.60 (0.29)
Closeness GM-PT,0.56 (0.24),0.73 (0.25),0.55 (0.34),0.55 (0.25),0.67 (0.29),0.61 (0.25),0.63 (0.23),0.65 (0.26),0.59 (0.29),0.52 (0.25),0.37 (0.23),0.83 (0.22),0.56 (0.27),0.70 (0.22),0.63 (0.23),0.48 (0.31),0.71 (0.27),0.51 (0.29),0.64 (0.25),0.60 (0.28),0.70 (0.31),0.60 (0.35),0.69 (0.27),0.69 (0.25),0.61 (0.30),0.61 (0.28),0.58 (0.27),0.65 (0.26),0.65 (0.35),0.66 (0.26),0.56 (0.28),0.63 (0.27)
Closeness GM-FT,0.84 (0.21),0.67 (0.24),0.60 (0.33),0.61 (0.28),0.75 (0.27),0.67 (0.24),0.74 (0.25),0.74 (0.23),0.83 (0.34),0.64 (0.24),0.75 (0.33),0.86 (0.19),0.63 (0.29),0.75 (0.21),0.73 (0.21),0.66 (0.28),0.61 (0.33),0.61 (0.33),0.58 (0.27),0.73 (0.23),0.63 (0.36),0.63 (0.30),0.89 (0.24),0.57 (0.23),0.66 (0.26),0.62 (0.33),0.63 (0.31),0.91 (0.21),0.68 (0.33),0.70 (0.27),0.59 (0.29),0.70 (0.27)
Betweenness D,0.03 (0.18),0.06 (0.20),0.50 (0.00),0.03 (0.16),0.05 (0.17),0.11 (0.19),0.03 (0.17),0.05 (0.19),0.50 (0.00),0.02 (0.15),0.50 (0.00),0.03 (0.17),0.03 (0.13),0.08 (0.27),0.15 (0.23),0.50 (0.00),0.04 (0.17),0.50 (0.00),0.50 (0.00),0.03 (0.17),0.50 (0.00),0.50 (0.00),0.02 (0.15),0.50 (0.00),0.04 (0.20),0.50 (0.00),0.02 (0.13),0.04 (0.20),0.03 (0.17),0.05 (0.14),0.50 (0.00),0.11 (0.22)
Betweenness GM-PD,0.07 (0.20),0.01 (0.12),0.08 (0.27),0.07 (0.18),0.01 (0.10),0.01 (0.10),0.03 (0.14),0.03 (0.12),0.22 (0.36),0.04 (0.16),0.08 (0.25),0.03 (0.17),0.02 (0.12),0.05 (0.20),0.02 (0.10),0.15 (0.32),0.03 (0.16),0.13 (0.35),0.02 (0.14),0.06 (0.18),0.09 (0.30),0.15 (0.34),0.04 (0.16),0.06 (0.23),0.05 (0.17),0.10 (0.32),0.02 (0.13),0.02 (0.14),0.03 (0.17),0.02 (0.10),0.15 (0.35),0.03 (0.15)
Betweenness GM-FD,0.09 (0.22),0.07 (0.16),0.13 (0.28),0.05 (0.17),0.03 (0.13),0.03 (0.10),0.07 (0.18),0.05 (0.14),0.25 (0.38),0.04 (0.17),0.23 (0.37),0.07 (0.23),0.06 (0.15),0.08 (0.19),0.04 (0.13),0.19 (0.36),0.07 (0.21),0.13 (0.35),0.06 (0.17),0.16 (0.26),0.15 (0.33),0.25 (0.43),0.14 (0.25),0.13 (0.25),0.05 (0.16),0.21 (0.38),0.08 (0.19),0.07 (0.19),0.07 (0.20),0.04 (0.13),0.13 (0.29),0.07 (0.18)
Betweenness T,0.18 (0.28),0.14 (0.28),0.27 (0.37),0.09 (0.22),0.09 (0.19),0.09 (0.23),0.10 (0.18),0.09 (0.20),0.19 (0.37),0.09 (0.19),0.24 (0.33),0.11 (0.27),0.15 (0.27),0.13 (0.23),0.06 (0.18),0.19 (0.35),0.15 (0.29),0.13 (0.35),0.11 (0.24),0.09 (0.24),0.41 (0.41),0.27 (0.38),0.08 (0.20),0.09 (0.24),0.08 (0.22),0.10 (0.32),0.11 (0.24),0.10 (0.21),0.20 (0.30),0.07 (0.17),0.08 (0.29),0.11 (0.23)
Betweenness GM-PT,0.07 (0.22),0.01 (0.12),0.08 (0.27),0.03 (0.15),0.01 (0.10),0.01 (0.09),0.02 (0.11),0.02 (0.12),0.17 (0.36),0.03 (0.16),0.08 (0.24),0.03 (0.17),0.02 (0.12),0.06 (0.20),0.01 (0.10),0.15 (0.36),0.03 (0.16),0.13 (0.35),0.02 (0.14),0.03 (0.17),0.09 (0.30),0.12 (0.32),0.03 (0.15),0.05 (0.23),0.05 (0.18),0.10 (0.32),0.02 (0.14),0.02 (0.14),0.03 (0.17),0.02 (0.12),0.09 (0.29),0.03 (0.15)
Betweenness GM-FT,0.10 (0.21),0.03 (0.13),0.15 (0.33),0.06 (0.20),0.03 (0.13),0.01 (0.08),0.05 (0.15),0.03 (0.11),0.25 (0.38),0.04 (0.16),0.19 (0.31),0.07 (0.21),0.08 (0.19),0.09 (0.20),0.03 (0.11),0.09 (0.29),0.09 (0.23),0.13 (0.35),0.03 (0.15),0.06 (0.22),0.09 (0.30),0.11 (0.31),0.04 (0.16),0.08 (0.24),0.06 (0.19),0.18 (0.34),0.08 (0.22),0.07 (0.21),0.05 (0.17),0.02 (0.10),0.09 (0.29),0.05 (0.17)
Eigenvector D,0.40 (0.32),0.28 (0.21),0.46 (0.31),0.23 (0.31),0.46 (0.25),0.26 (0.25),0.44 (0.23),0.17 (0.25),0.44 (0.39),0.17 (0.22),0.52 (0.32),0.37 (0.36),0.20 (0.21),0.06 (0.22),0.24 (0.18),0.54 (0.31),0.46 (0.24),0.67 (0.37),0.59 (0.30),0.33 (0.21),0.39 (0.37),0.53 (0.35),0.38 (0.28),0.36 (0.31),0.33 (0.21),0.36 (0.39),0.38 (0.26),0.30 (0.27),0.38 (0.28),0.36 (0.24),0.30 (0.35),0.32 (0.27)
Eigenvector GM-PD,0.25 (0.23),0.04 (0.17),0.29 (0.37),0.21 (0.21),0.04 (0.14),0.04 (0.11),0.04 (0.15),0.05 (0.15),0.47 (0.34),0.11 (0.19),0.35 (0.25),0.12 (0.21),0.06 (0.16),0.13 (0.21),0.05 (0.10),0.38 (0.29),0.16 (0.18),0.45 (0.30),0.14 (0.17),0.18 (0.24),0.26 (0.36),0.39 (0.44),0.18 (0.18),0.26 (0.28),0.14 (0.18),0.33 (0.31),0.07 (0.17),0.11 (0.18),0.14 (0.19),0.04 (0.13),0.43 (0.34),0.10 (0.20)
Eigenvector GM-FD,0.33 (0.32),0.27 (0.27),0.23 (0.38),0.18 (0.28),0.14 (0.20),0.08 (0.18),0.26 (0.24),0.11 (0.21),0.47 (0.36),0.08 (0.21),0.52 (0.39),0.18 (0.29),0.11 (0.21),0.06 (0.22),0.10 (0.15),0.43 (0.34),0.25 (0.24),0.58 (0.36),0.51 (0.27),0.20 (0.24),0.38 (0.37),0.42 (0.38),0.16 (0.23),0.32 (0.28),0.11 (0.18),0.36 (0.38),0.20 (0.27),0.19 (0.25),0.24 (0.28),0.08 (0.19),0.34 (0.39),0.17 (0.26)
Eigenvector T,0.41 (0.31),0.22 (0.25),0.33 (0.37),0.36 (0.25),0.12 (0.19),0.05 (0.14),0.16 (0.22),0.04 (0.16),0.61 (0.40),0.38 (0.31),0.52 (0.35),0.44 (0.28),0.09 (0.20),0.09 (0.24),0.24 (0.16),0.39 (0.32),0.13 (0.26),0.63 (0.29),0.35 (0.26),0.18 (0.23),0.34 (0.38),0.55 (0.38),0.18 (0.27),0.44 (0.31),0.36 (0.27),0.34 (0.39),0.18 (0.24),0.12 (0.27),0.27 (0.29),0.04 (0.15),0.63 (0.29),0.20 (0.27)
Eigenvector GM-PT,0.24 (0.23),0.04 (0.17),0.28 (0.37),0.18 (0.21),0.04 (0.15),0.02 (0.11),0.09 (0.15),0.04 (0.16),0.53 (0.29),0.12 (0.18),0.35 (0.25),0.11 (0.22),0.05 (0.16),0.09 (0.21),0.07 (0.13),0.44 (0.32),0.14 (0.28),0.45 (0.29),0.12 (0.17),0.14 (0.22),0.26 (0.35),0.30 (0.39),0.11 (0.21),0.24 (0.25),0.11 (0.17),0.32 (0.33),0.04 (0.18),0.07 (0.19),0.13 (0.21),0.03 (0.13),0.37 (0.32),0.09 (0.20)
Eigenvector GM-FT,0.35 (0.33),0.14 (0.24),0.25 (0.40),0.18 (0.21),0.12 (0.20),0.04 (0.14),0.09 (0.18),0.04 (0.16),0.52 (0.32),0.09 (0.21),0.46 (0.35),0.18 (0.29),0.06 (0.20),0.09 (0.25),0.15 (0.17),0.48 (0.31),0.11 (0.24),0.50 (0.38),0.30 (0.23),0.15 (0.23),0.32 (0.38),0.42 (0.36),0.13 (0.26),0.32 (0.26),0.25 (0.26),0.33 (0.38),0.13 (0.24),0.13 (0.26),0.21 (0.28),0.04 (0.16),0.53 (0.36),0.14 (0.24)
